"preference_id","faculty_id","course_key","preference_rank","teaching_intent","created_at","updated_at"
"P17835959987381481","F002","CSE|GMU|1|UE26CS1103","1","XXXX","2026-07-09 11:19:58.848426+00","2026-07-09 11:19:58.848426+00"
"P17835960584615996","F002","CSE|GMIT|3|1BCS305","2","ZZZZZZZ","2026-07-09 11:20:58.572365+00","2026-07-09 11:20:58.572365+00"
"P17836017732348782","F020","CSE|GMU|1|UE26CS1103","1","As I already worked in Industry in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 12:56:13.340092+00","2026-07-09 12:56:13.340092+00"
"P17836019592481540","F020","CSE|GMU|1|UG26AI1101","2","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 12:59:19.354637+00","2026-07-09 12:59:19.354637+00"
"P17836020019778669","F020","CSE|GMU|5|UE24CS3501","3","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 13:00:02.083826+00","2026-07-09 13:00:02.083826+00"
"P17836021059714526","F020","CSE|GMU|5|UE24CS3504","4","As I have Industry experience in AWS and Azure. So i have good practical knowledge which i can share with the students.","2026-07-09 13:01:46.07795+00","2026-07-09 13:01:46.07795+00"
"P17836022048768121","F020","CSE|GMIT|3|1BCS305","5","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 13:03:24.981709+00","2026-07-09 13:03:24.981709+00"
"P17836026754939102","F020","CSE|GMU|3|UE25CS2303","6","As I have Industry experience in Opps concept in C++ and Python. So i have good practical knowledge which i can share with the students.","2026-07-09 13:11:15.601293+00","2026-07-09 13:11:15.601293+00"
"P17836043024066464","F026","CSE|GMU|3|UE25CS2301","1","I prefer to teach this course as I have previously taught Algorithm Design and Complexity Analysis at GMIT. This prior experience has given me a strong understanding of the subject, enabling me to deliver the course effectively through practical examples, problem-solving, and student-centered learning.","2026-07-09 13:38:22.511442+00","2026-07-09 13:38:22.511442+00"
"P17836044531233992","F026","CSE|GMU|3|UE25CS2303","2","I have a strong foundation in Object Oriented Programming and am confident in teaching the course effectively. I focus on concept-based learning, live coding, practical implementation, and continuous practice to help students develop robust programming skills.","2026-07-09 13:40:53.226348+00","2026-07-09 13:40:53.226348+00"
"P17836048991855625","F026","CSE|GMU|5|UE24CS3501","3","Deep Learning is my area of Master's specialization, which provides me with strong subject knowledge and current insights. I can effectively deliver the course by combining theory with practical applications, case studies, and hands-on exercises.","2026-07-09 13:48:19.302441+00","2026-07-09 13:48:19.302441+00"
"P17836049817051242","F026","CSE|GMIT|5|BCS515A","4","I am currently pursuing my Master's in Artificial Intelligence with a strong focus on Deep Learning. I am confident in teaching the subject by combining theoretical concepts with practical exercises, case studies, and real-world AI applications.","2026-07-09 13:49:41.823212+00","2026-07-09 13:49:41.823212+00"
"P17836050228233813","F026","CSE|GMIT|1|1BEIT105","5","C programming is one of my core strengths, and I am confident in teaching it effectively. I focus on concept clarity, coding practice, and problem-solving to develop students' programming skills from the fundamentals.","2026-07-09 13:50:22.931651+00","2026-07-09 13:50:22.931651+00"
"P1783607404295508","F016","CSE|GMU|3|UE25CS2303","1","I would like to teach Object-Oriented Programming because it is one of my strongest subjects and I have experience teaching both theory and laboratory sessions. I focus on explaining concepts such as classes, objects, inheritance, polymorphism, abstraction, and exception handling using practical examples and coding demonstrations. My teaching approach emphasizes problem-solving, hands-on programming, and real-world applications, enabling students to build a strong foundation in software development.","2026-07-09 14:30:04.401654+00","2026-07-09 14:30:04.401654+00"
"P17836075401018782","F016","CSE|GMU|3|UE25CS2302","2","I would like to teach Internet of Things (IoT) because it is an emerging technology that integrates sensors, embedded systems, networking, and cloud computing to solve real-world problems. I am interested in guiding students through both the theoretical concepts and practical applications of IoT using real-life examples and project-based learning. My teaching approach focuses on developing students' problem-solving, analytical, and implementation skills, enabling them to design innovative IoT solutions and prepare for industry requirements.","2026-07-09 14:32:20.212909+00","2026-07-09 14:32:20.212909+00"
"P17836075650117267","F009","CSE|GMIT|7|BCS701","6","I selected this course based on my academic background, subject knowledge, and interest in the domain. The course aligns with my expertise and provides an opportunity to deliver quality teaching, guide students effectively, and help them develop both theoretical understanding and practical skills. Teaching this course also enables me to contribute to the department by preparing high-quality course materials and supporting students' academic growth.","2026-07-09 14:32:45.127249+00","2026-07-09 14:32:45.127249+00"
"P17836076026519319","F009","CSE|GMU|3|UE25CS2305","1","I selected this course based on my academic background, subject knowledge, and interest in the domain. The course aligns with my expertise and provides an opportunity to deliver quality teaching, guide students effectively, and help them develop both theoretical understanding and practical skills. Teaching this course also enables me to contribute to the department by preparing high-quality course materials and supporting students' academic growth.","2026-07-09 14:33:22.760765+00","2026-07-09 14:33:22.760765+00"
"P1783607627327646","F016","CSE|GMIT|5|BCS502","3","I wish to teach Computer Networks because it is a fundamental subject in Computer Science that connects theory with real-world networking applications. I can explain networking concepts using practical examples, diagrams, and case studies to make learning interactive and easy to understand. My goal is to help students develop strong conceptual knowledge and problem-solving skills that will benefit them in higher studies and industry.","2026-07-09 14:33:47.435901+00","2026-07-09 14:33:47.435901+00"
"P1783607648441921","F009","CSE|GMU|3|UE25CS2304","2","I selected this course based on my academic background, subject knowledge, and interest in the domain. The course aligns with my expertise and provides an opportunity to deliver quality teaching, guide students effectively, and help them develop both theoretical understanding and practical skills. Teaching this course also enables me to contribute to the department by preparing high-quality course materials and supporting students' academic growth.","2026-07-09 14:34:08.54755+00","2026-07-09 14:34:08.54755+00"
"P17836077241839151","F009","CSE|GMU|5|UE24CS3504","3","I selected this course based on my academic background, subject knowledge, and interest in the domain. The course aligns with my expertise and provides an opportunity to deliver quality teaching, guide students effectively, and help them develop both theoretical understanding and practical skills. Teaching this course also enables me to contribute to the department by preparing high-quality course materials and supporting students' academic growth.","2026-07-09 14:35:24.292097+00","2026-07-09 14:35:24.292097+00"
"P17836078218582463","F016","CSE|GMIT|3|1BCS305","4","I would like to teach Data Structures and Algorithms because it is a core subject that develops logical thinking, problem-solving, and efficient programming skills. I am interested in helping students understand fundamental data structures such as arrays, linked lists, stacks, queues, trees, and graphs, along with algorithm design and analysis. My teaching approach combines conceptual explanations, coding exercises, and real-world examples to enable students to write efficient programs and build a strong foundation for software development, competitive programming, and technical interviews.","2026-07-09 14:37:01.96521+00","2026-07-09 14:37:01.96521+00"
"P17836078701702720","F009","CSE|GMU|3|UE25CS2303","4","I selected this course based on my academic background, subject knowledge, and interest in the domain. The course aligns with my expertise and provides an opportunity to deliver quality teaching, guide students effectively, and help them develop both theoretical understanding and practical skills. Teaching this course also enables me to contribute to the department by preparing high-quality course materials and supporting students' academic growth.","2026-07-09 14:37:50.273915+00","2026-07-09 14:37:50.273915+00"
"P17836079103615638","F016","CSE|GMIT|5|BCS515A","5","I would like to teach Introduction to Artificial Intelligence because it provides students with the fundamental concepts required to understand intelligent systems and modern AI technologies. I am interested in explaining AI principles, problem-solving techniques, search algorithms, knowledge representation, and real-world applications through interactive teaching and practical examples. My teaching approach focuses on building a strong conceptual foundation, encouraging analytical thinking, and preparing students for advanced AI, machine learning, and data science courses.","2026-07-09 14:38:30.476076+00","2026-07-09 14:38:30.476076+00"
"P17836080162654972","F016","CSE|GMU|5|UE24CS3503","6","I would like to teach Cyber Security and Secure Systems because it is a critical area in Computer Science that focuses on protecting digital information, networks, and computing systems from cyber threats. I am interested in helping students understand the fundamentals of cybersecurity, secure system design, cryptography, network security, authentication, and risk management through real-world examples and practical scenarios. My teaching approach emphasizes conceptual understanding, hands-on learning, and problem-solving to prepare students for industry challenges and emerging cybersecurity technologies.","2026-07-09 14:40:16.371952+00","2026-07-09 14:40:16.371952+00"
"P17836108664767838","F023","CSE|GMU|3|UE25CS2301","1","I successfully handled this course in the previous semester and am familiar with the syllabus, course outcomes, and assessment process. I would like to continue teaching this subject to ensure consistency and further improve student learning.","2026-07-09 15:27:46.584727+00","2026-07-09 15:27:46.584727+00"
"P17836109852853186","F023","CSE|GMU|3|UE25CS2303","2","I am interested in teaching Object Oriented Programming. With my programming background, I can effectively deliver both theoretical concepts and practical implementation using real-world examples and hands-on coding sessions","2026-07-09 15:29:45.399176+00","2026-07-09 15:29:45.399176+00"
"P1783611067293879","F004","CSE|GMIT|3|1BCS305","1","Data Structures is the backbone of computer science, developing programming, problem-solving, and optimization skills essential for advanced courses, placements, and software development. With my 24 years of teaching experience and having taught this course four times earlier, I will guide students with practical insights, real-world examples, and industry-oriented learning.","2026-07-09 15:31:07.403189+00","2026-07-09 15:31:07.403189+00"
"P17836111268254853","F023","CSE|GMU|5|UE24CS3504","3","My background in cloud technologies and data engineering enables me to effectively teach serverless computing concepts. I can help students gain practical experience with cloud functions, APIs, and event-driven architectures using industry-standard tools.","2026-07-09 15:32:06.942621+00","2026-07-09 15:32:06.942621+00"
"P17836112585452795","F023","CSE|GMU|5|UE24CS3503","5","I am interested in teaching this course as it aligns with my interest in cybersecurity and secure computing. I am committed to delivering both theoretical concepts and practical learning using real-world security scenarios and industry-relevant tools.","2026-07-09 15:34:18.661626+00","2026-07-09 15:34:18.661626+00"
"P17836113473421530","F004","CSE|GMU|1|UG26AI1101","2","I chose to teach the AI course for first-year GMU students because I wanted to explore a new and emerging subject while leveraging my 24 years of teaching experience. My goal is to inspire, mentor, and groom students from the beginning of their academic journey, helping them build a strong foundation and connect with our department.","2026-07-09 15:35:47.449189+00","2026-07-09 15:35:47.449189+00"
"P17836113742699599","F023","CSE|GMU|3|UE25CS2304","4","This course aligns with my academic background in Computer Science. I am committed to helping students build a clear understanding of computer organization, architecture, and system-level concepts through interactive teaching and practical examples.","2026-07-09 15:36:14.384257+00","2026-07-09 15:36:14.384257+00"
"P17836115244824316","F004","CSE|GMU|1|UE26CS1103","3","I would like to teach C Programming to first-year GMU students because it provides the fundamental foundation for programming and problem-solving. With my 24 years of teaching experience and having taught this course multiple times, I can help students develop strong coding skills, logical thinking, and confidence, preparing them for advanced computing courses.","2026-07-09 15:38:44.587625+00","2026-07-09 15:38:44.587625+00"
"P17836116131087839","F023","CSE|GMU|1|UE26CS1103","6","With my experience in teaching programming-related courses, I can effectively guide students in developing problem-solving skills and writing efficient C programs through practical implementation.","2026-07-09 15:40:13.214019+00","2026-07-09 15:40:13.214019+00"
"P17836116882111624","F004","CSE|GMIT|7|BCS703","4","I wish to teach Cryptography & Network Security because cybersecurity is a rapidly growing and highly relevant field in today's digital world. With my 24 years of teaching experience, I can effectively connect theoretical concepts with practical applications, helping students develop the knowledge and skills required to address modern security challenges and industry demands.","2026-07-09 15:41:28.317613+00","2026-07-09 15:41:28.317613+00"
"P17836117816416863","F004","CSE|GMIT|3|1BCS302","5","I wish to teach Object-Oriented Concepts (OOC) with Java because it equips students with the programming skills required for modern software development. With my 24 years of teaching experience and prior experience teaching programming courses, I can help students master object-oriented design, coding practices, and application development, preparing them for advanced courses and industry careers.","2026-07-09 15:43:01.74384+00","2026-07-09 15:43:01.74384+00"
"P1783611863654356","F004","CSE|GMIT|5|BCS515A","6","I wish to teach the Professional Elective course on Artificial Intelligence because AI is transforming every industry and is a key technology for the future. With my 24 years of teaching experience and a Ph.D. in machine learning-based crop yield prediction, I can provide students with both strong theoretical knowledge and practical, research-oriented insights.","2026-07-09 15:44:23.757967+00","2026-07-09 15:44:23.757967+00"
"P17836122784398565","F015","CSE|GMIT|7|BCS702","1","I wish to teach Parallel Computing as I have previously taught this course and am familiar with its concepts and practical aspects. I am confident I can help students understand the subject clearly and develop practical skills for modern computing applications.","2026-07-09 15:51:18.547219+00","2026-07-09 15:51:18.547219+00"
"P17836133556789135","F010","CSE|GMU|5|UE24CS3503","2","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-09 16:09:15.795543+00","2026-07-09 16:09:15.795543+00"
"P17836133558621267","F010","CSE|GMU|5|UE24CS3502","1","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-09 16:09:15.972918+00","2026-07-09 16:09:15.972918+00"
"P17836133563362573","F010","CSE|GMU|5|UE24CS3501","3","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-09 16:09:16.446927+00","2026-07-09 16:09:16.446927+00"
"P17836133591575528","F010","CSE|GMU|3|UE25CS2304","6","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-09 16:09:19.267516+00","2026-07-09 16:09:19.267516+00"
"P17836133610644585","F010","CSE|GMU|3|UE25CS2303","4","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-09 16:09:21.174614+00","2026-07-09 16:09:21.174614+00"
"P17836222479107358","F003","CSE|GMIT|7|BCS703","1","I am genuinely interested in Cryptography and Network Security and enjoy teaching the subject.
I continuously learn about the latest developments, cyber threats, and security technologies.
I believe this subject is essential for building secure and reliable computing systems.
I encourage students to understand both the theoretical concepts and practical applications of cybersecurity.
Teaching this subject also helps me expand my knowledge while preparing students for industry and research.","2026-07-09 18:37:28.025321+00","2026-07-09 18:37:28.025321+00"
"P17836223666867171","F003","CSE|GMIT|3|1BCS305","2","I am highly interested in Data Structures and Applications and enjoy teaching the subject.
I continuously enhance my knowledge of data structures, algorithms, and their real-world applications.
I believe this subject builds a strong foundation for programming, problem-solving, and software development.
I encourage students to develop logical thinking through coding, practical exercises, and algorithm analysis.
Teaching this subject allows me to strengthen my expertise while preparing students for technical interviews, higher studies, and industry careers.","2026-07-09 18:39:26.803335+00","2026-07-09 18:39:26.803335+00"
"P1783622466953124","F003","CSE|GMIT|5|BCS501","3","I am highly interested in Software Engineering & Project Management and enjoy teaching the subject.
I continuously update my knowledge of modern software development methodologies, tools, and project management practices.
I believe this subject helps students understand the complete software development life cycle and teamwork.
I encourage students to apply software engineering principles through case studies, projects, and real-world examples.
Teaching this subject enables me to prepare students for successful careers in software development and project management.","2026-07-09 18:41:07.070708+00","2026-07-09 18:41:07.070708+00"
"P17836225759003547","F003","CSE|GMU|3|UE25CS2301","4","I am highly interested in Algorithm Design and Complexity Analysis and enjoy teaching the subject.
I continuously enhance my knowledge of algorithm design techniques, optimization methods, and computational complexity.
I believe this subject develops strong analytical and problem-solving skills that are essential for computer science.
I encourage students to design efficient algorithms and analyze their time and space complexity through practical examples.
Teaching this subject helps me deepen my expertise while preparing students for competitive programming, technical interviews, and advanced research.","2026-07-09 18:42:56.009063+00","2026-07-09 18:42:56.009063+00"
"P17836227509867029","F003","CSE|GMU|3|UE25CS2305","5","I am highly interested in Operating System Concepts and enjoy teaching the subject.
I continuously update my knowledge of operating system design, process management, memory management, and file systems.
I believe this subject provides the foundation for understanding how computer systems efficiently manage hardware and software resources.
I encourage students to learn through practical examples, system programming concepts, and real-world case studies.
Teaching this subject helps me strengthen my expertise while preparing students for careers in systems programming, software development, and IT.","2026-07-09 18:45:51.103278+00","2026-07-09 18:45:51.103278+00"
"P17836228675251406","F003","CSE|GMU|3|UE25CS2304","6","I am highly interested in Computer Organization and Architecture and enjoy teaching the subject.
I continuously enhance my knowledge of processor architecture, memory organization, and computer system design.
I believe this subject provides a strong foundation for understanding how computer hardware and software interact.
I encourage students to learn through practical examples, problem-solving, and real-world applications of computer architecture.
Teaching this subject helps me deepen my expertise while preparing students for careers in computer engineering, embedded systems, and advanced computing.","2026-07-09 18:47:47.631384+00","2026-07-09 18:47:47.631384+00"
"P17836543856811571","F015","CSE|GMU|5|UE24CS3503","2","I wish to teach Cyber Security and Secure Systems because I am familiar with the subject and its practical applications.","2026-07-10 03:33:05.78766+00","2026-07-10 03:33:05.78766+00"
"P17836552087877415","F026","CSE|GMU|3|UE25CS2305","6","I wish to teach this course as Operating Systems is a fundamental subject in Computer Science. I can effectively teach its core concepts through practical examples, system-level demonstrations, and problem-solving, enabling students to build a strong foundation in systems programming.","2026-07-10 03:46:48.892954+00","2026-07-10 03:46:48.892954+00"
"P17836553122549428","F025","CSE|GMU|3|UE25CS2303","1","it is a fundamental programming language that develops logical thinking and coding skills.","2026-07-10 03:48:32.360604+00","2026-07-10 03:48:32.360604+00"
"P17836554460139493","F018","CSE|GMIT|7|BCS703","1","Since I'm planning to pursue a PhD in Cryptography and Cybersecurity, choosing subjects related to these areas can help me to build the right foundation","2026-07-10 03:50:46.123377+00","2026-07-10 03:50:46.123377+00"
"P17836554720777649","F025","CSE|GMU|3|UE25CS2305","2","It is a core subject that connects programming concepts with computer architecture, providing a strong foundation for system-level understanding.","2026-07-10 03:51:12.182278+00","2026-07-10 03:51:12.182278+00"
"P1783655496735231","F018","CSE|GMU|5|UE24CS3503","2","Since I'm planning to pursue a PhD in Cryptography and Cybersecurity, choosing subjects related to these areas can help me to build the right foundation","2026-07-10 03:51:36.85398+00","2026-07-10 03:51:36.85398+00"
"P17836556756453018","F022","CSE|GMIT|7|BCS701","1","","2026-07-10 03:54:35.7626+00","2026-07-10 03:54:35.7626+00"
"P17836556859489100","F012","CSE|GMU|1|UE26CS1103","1","I have chosen C Programming because it is a fundamental course that builds students' programming and problem-solving skills. I have experience teaching this subject.","2026-07-10 03:54:46.066225+00","2026-07-10 03:54:46.066225+00"
"P17836556886281283","F012","CSE|GMU|1|UG26AI1101","2","I have chosen Introduction to AI because it equips students with essential knowledge of one of the most rapidly evolving technologies. I am interested in teaching the fundamentals of AI and helping students build a strong conceptual foundation","2026-07-10 03:54:48.745811+00","2026-07-10 03:54:48.745811+00"
"P17836557121205249","F022","CSE|GMIT|5|BCS502","2","","2026-07-10 03:55:12.233572+00","2026-07-10 03:55:12.233572+00"
"P17836557434681106","F022","CSE|GMIT|7|BCS755x","3","","2026-07-10 03:55:43.583345+00","2026-07-10 03:55:43.583345+00"
"P17836557447752720","F018","CSE|GMIT|5|BCS502","3","because I studied it in both my UG and PG, making it easier for me to teach effectively. It also provides a strong foundation for my future PhD in Cryptography and Cybersecurity.","2026-07-10 03:55:44.891025+00","2026-07-10 03:55:44.891025+00"
"P17836557595943560","F022","CSE|GMIT|7|BCS714x","4","","2026-07-10 03:55:59.704534+00","2026-07-10 03:55:59.704534+00"
"P1783655809266287","F022","CSE|GMIT|3|1BCS304","5","","2026-07-10 03:56:49.383964+00","2026-07-10 03:56:49.383964+00"
"P17836558205404397","F022","CSE|GMIT|5|BCS501","6","","2026-07-10 03:57:00.643256+00","2026-07-10 03:57:00.643256+00"
"P17836558650156936","F018","CSE|GMU|1|UE26CS1102","4","because I have an Electronics and Communication Engineering (ECE) background and have successfully taught this subject in a previous semester. My prior experience and strong fundamentals will help me deliver the course effectively.","2026-07-10 03:57:45.121361+00","2026-07-10 03:57:45.121361+00"
"P17836558658925813","F006","CSE|GMU|5|UE24CS3501","1","","2026-07-10 03:57:45.998171+00","2026-07-10 03:57:45.998171+00"
"P17836558830872361","F021","CSE|GMIT|5|BCS501","1","I chose Software Engineering and Project Management (SEPM) because it combines technical knowledge with practical project execution, preparing students for real-world software development. My teaching approach emphasizes interactive learning, case studies, teamwork, problem-solving, and industry-oriented projects. Students will gain both technical and managerial skills, improving their employability and confidence. I have prepared thoroughly by updating my knowledge with current software engineering practices, project management methodologies, and practical examples. I am excited to create an engaging learning environment that inspires students to think critically, collaborate effectively, and develop professional competencies for successful careers in the software industry.","2026-07-10 03:58:03.193301+00","2026-07-10 03:58:03.193301+00"
"P17836558968978434","F027","CSE|GMIT|5|BCS503","1","Theory of Computation I have prior teaching experience with this subject from the previous semester and am familiar with the syllabus and concepts. I am confident in handling up to two sections and delivering the course effectively.","2026-07-10 03:58:17.014362+00","2026-07-10 03:58:17.014362+00"
"P17836559038531515","F012","CSE|GMIT|3|1BCS305","3","I have chosen Data Structures and Applications because it is a core subject that builds strong programming and problem-solving skills. I have previously taught this course, enabling me to teach it effectively and help students develop a solid foundation","2026-07-10 03:58:23.970363+00","2026-07-10 03:58:23.970363+00"
"P17836559161434743","F006","CSE|GMIT|1|1BEIT105","2","","2026-07-10 03:58:36.252639+00","2026-07-10 03:58:36.252639+00"
"P17836559328015970","F013","CSE|GMIT|5|BCS502","2","d. I am interested in teaching Computer Networks and can effectively explain networking concepts, protocols, network architecture, and practical applications with real-world example","2026-07-10 03:58:52.908365+00","2026-07-10 03:58:52.908365+00"
"P17836559391371561","F014","CSE|GMIT|3|1BCS302","1","To provide a strong foundation in Java programming and object-oriented principles for solving real-world programming problems.","2026-07-10 03:58:59.244163+00","2026-07-10 03:58:59.244163+00"
"P17836559488614014","F015","CSE|GMU|5|UE24CS3501","3","I am interested in teaching Deep Learning because it is an important and fast-growing area of computer science. I would like to help students understand its basic concepts and practical uses in a simple way.","2026-07-10 03:59:08.968446+00","2026-07-10 03:59:08.968446+00"
"P17836559663181809","F014","CSE|GMU|3|UE25CS2303","2","To provide a strong foundation in Java programming and object-oriented principles for solving real-world programming problems.","2026-07-10 03:59:26.424968+00","2026-07-10 03:59:26.424968+00"
"P17836559823813226","F006","CSE|GMIT|7|BCS755x","3","","2026-07-10 03:59:42.487027+00","2026-07-10 03:59:42.487027+00"
"P17836559927112732","F015","CSE|GMIT|5|BCS515A","4","I am interested in teaching Artificial Intelligence because it is an important and emerging field in computer science. I would like to help students understand its concepts and real-world applications.","2026-07-10 03:59:52.817374+00","2026-07-10 03:59:52.817374+00"
"P17836560170614369","F010","CSE|GMU|3|UE25CS2305","5","As a faculty member in Computer Science and Engineering, my preferred subject reflects both my academic interest and its relevance to current technological advancements. This subject allows me to deliver concepts that are not only theoretically strong but also practically applicable in real-world scenarios. By learning this subject, students gain critical thinking skills, problem-solving abilities, and hands-on experience with modern tools and techniques. It prepares them for industry demands, enhances their innovation capacity, and builds a strong foundation for future research or professional careers in the field of technology","2026-07-10 04:00:17.17788+00","2026-07-10 04:00:17.17788+00"
"P1783656018639682","F012","CSE|GMIT|3|1BCS304","4","I have chosen **Operating Systems** because it is a fundamental subject in computer science with significant practical relevance. I am interested in teaching this course and, at the same time, deepening my understanding of the subject, enabling me to deliver better learning experiences while continuously enhancing my expertise.","2026-07-10 04:00:18.755737+00","2026-07-10 04:00:18.755737+00"
"P1783656047808107","F014","CSE|GMIT|5|BCS502","3","To provide students with a fundamental understanding of computer networks, communication protocols, and network technologies for effective data communication.","2026-07-10 04:00:47.914311+00","2026-07-10 04:00:47.914311+00"
"P17836560647184221","F013","CSE|GMIT|3|1BCS305","1","have a understanding of data structures which i handle in previous sem , the algorithms, and their practical applications.  delivering both theoretical concepts and laboratory sessions while encouraging problem-solving and coding skills which can also improve my about the subjectknowldge .","2026-07-10 04:01:04.836028+00","2026-07-10 04:01:04.836028+00"
"P1783656072863300","F015","CSE|GMU|3|UE25CS2304","6","I am interested in teaching Computer Organization and Architecture because it is a core subject for understanding computer systems. I would like to help students build a strong foundation in the subject.","2026-07-10 04:01:12.980565+00","2026-07-10 04:01:12.980565+00"
"P17836561025209893","F006","CSE|GMU|1|UG26AI1101","4","","2026-07-10 04:01:42.634569+00","2026-07-10 04:01:42.634569+00"
"P17836561034151032","F013","CSE|GMIT|5|BCS515A","3","I am passionate about Artificial Intelligence and would like to teach core AI concepts, intelligent agents, search techniques, machine learning fundamentals, and practical applications.","2026-07-10 04:01:43.524359+00","2026-07-10 04:01:43.524359+00"
"P17836561075667997","F025","CSE|GMU|1|UE26CS1103","3","I took this subject last semester, and I want to enhance my programming fundamentals and gain more confidence in writing C programs","2026-07-10 04:01:47.674993+00","2026-07-10 04:01:47.674993+00"
"P178365613499249","F013","CSE|GMU|5|UE24CS3502","4","I am eager to teach emerging technologies such as AR, VR, and Metaverse, integrating theoretical knowledge with hands-on demonstrations and project-based learning.","2026-07-10 04:02:15.108734+00","2026-07-10 04:02:15.108734+00"
